consent,18+,gender,age,occupation,education,ai-knowledge,reading papers,english-skills_1,english-skills_2,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Task1-what was the baseline?_1,Task1-what was the baseline?_2,Task1-what was the baseline?_3,Task1-what was the baseline?_4,Task1-what dataset was used?_1,Task1-what dataset was used?_2,Task1-what dataset was used?_3,Task1-what dataset was used?_4,Task1-What dataset do they use?_1,Task1-What dataset do they use?_2,Task1-What dataset do they use?_3,Task1-What dataset do they use?_4,Task1-Which dataset do they use?_1,Task1-Which dataset do they use?_2,Task1-Which dataset do they use?_3,Task1-Which dataset do they use?_4,Task1-what are the baselines?_1,Task1-what are the baselines?_2,Task1-what are the baselines?_3,Task1-what are the baselines?_4,Task1-Which datasets do they evaluate on?_1,Task1-Which datasets do they evaluate on?_2,Task1-Which datasets do they evaluate on?_3,Task1-Which datasets do they evaluate on?_4,Task1-what were the evaluation metrics?_1,Task1-what were the evaluation metrics?_2,Task1-what were the evaluation metrics?_3,Task1-what were the evaluation metrics?_4,Task1-How long is their dataset?_1,Task1-How long is their dataset?_2,Task1-How long is their dataset?_3,Task1-How long is their dataset?_4,Task1-Do they report results only on English data?_1,Task1-Do they report results only on English data?_2,Task1-Do they report results only on English data?_3,Task1-Do they report results only on English data?_4,Task1-What datasets are used?_1,Task1-What datasets are used?_2,Task1-What datasets are used?_3,Task1-What datasets are used?_4,Task1-What are the baseline models?_1,Task1-What are the baseline models?_2,Task1-What are the baseline models?_3,Task1-What are the baseline models?_4,Task1-How long is the dataset?_1,Task1-How long is the dataset?_2,Task1-How long is the dataset?_3,Task1-How long is the dataset?_4,Task1-efficacy_1,Task1-efficacy_2,Timer_First Click,Timer_Last Click,Timer_Page Submit,Timer_Click Count,Task2-what was the baseline?_1_1,Task2-what was the baseline?_2_1,Task2-what was the baseline?_3_1,Task2-what was the baseline?_4_1,Task2-what dataset was used?_1_1,Task2-what dataset was used?_2_1,Task2-what dataset was used?_3_1,Task2-what dataset was used?_4_1,Task2-What dataset do they use?_1_1,Task2-What dataset do they use?_2_1,Task2-What dataset do they use?_3_1,Task2-What dataset do they use?_4_1,Task2-Which dataset do they use?_1_1,Task2-Which dataset do they use?_2_1,Task2-Which dataset do they use?_3_1,Task2-Which dataset do they use?_4_1,Task2-what are the baselines?_1_1,Task2-what are the baselines?_2_1,Task2-what are the baselines?_3_1,Task2-what are the baselines?_4_1,Task2-Which datasets do they evaluate on?_1_1,Task2-Which datasets do they evaluate on?_2_1,Task2-Which datasets do they evaluate on?_3_1,Task2-Which datasets do they evaluate on?_4_1,Task2-what were the evaluation metrics?_1_1,Task2-what were the evaluation metrics?_2_1,Task2-what were the evaluation metrics?_3_1,Task2-what were the evaluation metrics?_4_1,Task2-How long is their dataset?_1_1,Task2-How long is their dataset?_2_1,Task2-How long is their dataset?_3_1,Task2-How long is their dataset?_4_1,Task2-Do they report results only on English data?_1_1,Task2-Do they report results only on English data?_2_1,Task2-Do they report results only on English data?_3_1,Task2-Do they report results only on English data?_4_1,Task2-What datasets are used?_1_1,Task2-What datasets are used?_2_1,Task2-What datasets are used?_3_1,Task2-What datasets are used?_4_1,Task2-What are the baseline models?_1_1,Task2-What are the baseline models?_2_1,Task2-What are the baseline models?_3_1,Task2-What are the baseline models?_4_1,Task2-How long is the dataset?_1_1,Task2-How long is the dataset?_2_1,Task2-How long is the dataset?_3_1,Task2-How long is the dataset?_4_1,Task2-Efficacy_1,Task2-Efficacy_2,helpful answers,helpful evidence,Task 1 Time,Task 2 Time
I agree to participate in this study,Yes,Male,28,Software Engineer,master's degree,I have a little knowledge about AI,Intermediate: Someone who has some experience in reading papers and is familiar with the technical language and concepts presented. They can understand the main arguments and findings in the paper but may require additional research or support to fully grasp the details.,3,4,5.335,941.46,958.956,16,,,,,,,,,They use 2 datasets. The first one is for sentence extraction which labels sentences from news articles that must appear in the corresponding summary and the other one is for word extraction with words that appear in both the article and the highlight,They use 2 datasets. 1 dataset where chat sessions are manually annotated as the ground truth and 1 more unlabeled dataset to test their framework on,The English portion of CoNLL 2012 data,A dataset containing different vulnerabilities in code commits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,27.27,322.686,334.972,10,Weka baseline,Unanswerable,Bing Liu's Dataset,Hybrid â€“ the current state-of-the-art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Sometimes,Sometimes,15.89368333,5.128366667
I agree to participate in this study,Yes,Male,29,AI,master's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",5,5,3.61,447.853,608.697,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Craigslist Bargaining dataset (CB),PDTB 2.05,"(1) human-human utterances from massive online forums, microblogs, and question-answering communities, such as Sina Weibo Baidu Zhidao and Baidu Tieba, (2) dataset from various resources in public websites comprising 1,606,741 query-reply pairs.","Speech recording of patients in (1) Spanish (PC-GITA corpus), (2) German, (3) Czech",,,,,,,,,2,3,87.151,223.833,237.489,7,,,,,,,,,,,,,,,,,,,,,FIGER (GOLD) and BBN,SICK (Sentences Involving Compositional Knowledge) dataset,Open Minds Indoor Common Sense (OMICS),"NIST OpenMT08 task, NIST 2006 (NIST06) dataset, NIST 2002 (NIST02), 2003 (NIST03), 2004 (NIST04) 2005 (NIST05), and 2008 (NIST08) datasets",,,,,,,,,,,,,,,,,,,,,,,,,5,3,Sometimes,Yes,10.08478333,2.505633333
I agree to participate in this study,Yes,Male,25,MSc Artificial Intelligence student,bachelor's degree,I have significant knowledge about AI,Intermediate: Someone who has some experience in reading papers and is familiar with the technical language and concepts presented. They can understand the main arguments and findings in the paper but may require additional research or support to fully grasp the details.,5,5,4.229,415.229,420.648,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some tweets were not assigned labels as there was no majority class. This results in a sample of 24,802 labeled tweets",Unanswerable,"After removing documents with missing PDF files and documents which were not converted successfully, we were left with 624 full text documents","The train set contained 20214 sentence pairs, while the validation contained 1000 sentence pairs",,,,,,,,,,,,,,,,,4,6,14.736,435.592,502.958,17,,,,,,,,,,,,,Clueweb09 derived dataset and Wikipedia crawl data,U.S. Census Bureau conducted Annual Retail Trade Survey of U.S. Retail and Food Services Firms for the period of 1992 to 2013,"GlobalPhone corpus, zrsc 2015, Buckeye corpus, NCHLT corpus, English wsj corpus",BIBREF4 crowdsourced the annotation of 19538 tweets they had curated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,Yes,Yes,6.940316667,8.137033333
I agree to participate in this study,Yes,Female,24,Business Analyst,master's degree,I have a little knowledge about AI,Intermediate: Someone who has some experience in reading papers and is familiar with the technical language and concepts presented. They can understand the main arguments and findings in the paper but may require additional research or support to fully grasp the details.,4,4,3.105,542.948,640.473,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unanswerable,No,Yes,,,,,,,,,,,,,3,2,4.145,218.819,219.706,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4 million tweets,29044,624 full text documents,23315 sentence pairs,,,,,,,,,,,,,,,,,8,7,Yes,Yes,10.6228,3.592683333
I agree to participate in this study,Yes,Male,24,"student, Artificial Intelligence",bachelor's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",5,5,2.168,410.43,410.893,20,,,,,,,,,,,,,,,,,,,,,,,,,Accuracy and the custom error metric defined in equation (1),"Avg. Recall, Accuracy and F-score","F-score, micro-averaged F-score",4-gram BLEU score,,,,,,,,,,,,,,,,,,,,,3,8,4.018,47.071,93.581,8,,,,,,,,,DUC 2002 document summarization corpus and DailyMail news highlights corpus,"The dataset was crawled from the Douban forum, containing 3 million utterances and approximately 150,000 unique words (Chinese terms).",The English portion of CoNLL 2012 data,Manually-curated dataset of publicly disclosed vulnerabilities in 205 distinct open-source Java projects mapped to commits fixing them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,Yes,Yes,6.812083333,1.492716667
I agree to participate in this study,Yes,Male,27,Student MSc Artificial Intelligence,bachelor's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",5,5,11.292,442.708,446.669,16,,,,,,,,,,,,,,,,,"standard bididrectional RNN model with attention, a standard context agnostic Transformer.",one-stage RNN system,the methods suggested in Dori-Hacohen et al. (2016); Rad and Barbosa (2012),The original ESIM model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,26.822,187.146,239.526,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BiLSTM-CNN proposed by BIBREF1,"MLE model and Baseline$+(t)$ with $t \in [0,1]$","ELMo, USE, NBSVM, FastText, XLnet base cased model (XLnet), BERT base cased (BERT-Cased) and BERT base uncased (BERT-Uncased) models, and RoBERTa base model",Seq2Seq MT models,,,,,7,9,Yes,Yes,7.256283333,3.545066667
I agree to participate in this study,Yes,Male,25,AI Master's Student,bachelor's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",4,5,3.686,207.017,207.689,27,,,,,,,,,,,,,,,,,,,,,FIGER (GOLD) and BBN,SICK (Sentences Involving Compositional Knowledge),Open Minds Indoor Common Sense (OMICS) corpus,NIST 2006 (NIST06),,,,,,,,,,,,,,,,,,,,,,,,,1,8,17.728,178.221,179.943,8,,,,,"The training, validation and test datasets provided for the shared task BIBREF5",Data set A and Data set B,113 GB,Bing Liu's dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,Sometimes,Sometimes,3.40005,2.703583333
I agree to participate in this study,Yes,Male,26,MSc student in AI,bachelor's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",4,5,10.362,428.86,487.166,13,,,,,,,,,,,,,Clueweb09 and a generated one crawling Wikipedia,Data from a survey and handcrafted questions,GlobalPhone,Tweets annotated by Potthast et al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,16.319,135.632,171.232,19,,,,,,,,,,,,,,,,,,,,,,,,,cost measure that uses the confusion matrix of the prediction and prior knowledge,macro-average recall,"F-score for class 1 (ADR): INLINEFORM0, micro-averaged F-score of the class 1 (intake) and class 2 (possible intake): INLINEFORM0 INLINEFORM1, total score = INLINEFORM0",case-insensitive 4-gram BLEU score and faithfulness of translation results (scored 0-5),,,,,,,,,,,,,,,,,,,,,4,4,Yes,Yes,7.946733333,2.581883333
I agree to participate in this study,Yes,Female,26,Student,master's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",3,4,5.144,393.424,404.335,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330M,6381+7527+5424 = 19332 reviews,98976 tokens,3045+2000 = 5045 sentences in training set and 800+676 = 1476 in test set,7,6,12.637,242.141,242.952,10,,,,,,,,,,,,,,,,,"a standard bidirectional RNN model with attention, a standard context-agnostic Transformer, and a recurrent baseline",a one-stage RNN system,"Nearest neighbors (NN) Estimator, Naive Bayes (NB) Estimator and Recurrent neural network (RNN)",ESIM MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,Sometimes,Sometimes,6.653183333,3.838583333
I agree to participate in this study,Yes,Male,25,AI Student,master's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",4,5,3.06,319.732,320.001,22,Weka,Numerical Features,Unanswerable,"PBMT-R, SBMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,28.317,293.143,309.821,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,,1,1,Yes,Yes,5.28235,4.413766667
I agree to participate in this study,Yes,Female,25,Master's in AI,master's degree,I have significant knowledge about AI,"Advanced: Someone who has extensive experience in reading papers and is well-versed in the technical language and concepts presented. They can easily understand the main arguments, findings, and implications of the paper and are able to provide insightful critiques and analysis.",4,5,2.781,495.819,564.822,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baseline-BiLSTM, CRF-BiLSTM, Cross-BiLSTM-CNN and AttBiLSTM-CNN","MLE model and Baseline+(t), where t âˆˆ [0, 1]","ELMo, USE, NBSVM, FastText, XLnet base cased model (XLnet), BERT in two setups: BERT base cased (BERT-Cased) and BERT base uncased (BERT-Uncased) models, and RoBERTa base model",Transformer baseline,,,,,4,5,9.322,63.634,77.245,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Craigslist Bargaining dataset (CB),PDTB 2.0,"A dataset of 1,606,741 query-reply pairs and a dataset of human-human utterance pairs","Spanish, German, and Czech",,,,,,,,,4,5,Yes,Yes,9.36735,1.13205
I agree to participate in this study,Yes,Male,26,AI student,bachelor's degree,I have significant knowledge about AI,Intermediate: Someone who has some experience in reading papers and is familiar with the technical language and concepts presented. They can understand the main arguments and findings in the paper but may require additional research or support to fully grasp the details.,3,3,2.168,564.923,576.193,53,,,,,Various emotions dataset,A self made linked noise and EEG,Published IEEE papers,Snap Amazon dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1.038,327.678,330.401,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,284 English-language tweets and 6100 Arabic-language tweets",5000 for each TV series,"5,124 sentences",Unanswerable,6,2,Yes,Yes,9.567083333,5.489383333
